,hotel_name,price,rating,distance_from_center,acc_type,city,date_in,date_out,day_in,day_out
17,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
18,Danubius Hotel Erzsébet City Center,908.06,7.9,0.65,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
19,Novotel Budapest Centrum,1148.13333333333,8.3,1.25,Hotel,Budapest,2025-07-01,2025-07-10,Lunes,Miercoles
0,Carlton Hotel Buda Castle,994.495238095238,8.7,1.30,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
1,Cosy Home in the heart of Budapest - Dorotea,766.588173913044,9.5,0.55,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
2,Minimalistic Apartment & Studio in Heart street,611.040782608696,8.7,1.65,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
3,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
4,Corvin Plaza Apartments & Suites,871.958476190476,8.4,1.55,Aparthotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
5,Tabán Art Appartmann,849.15,9.5,1.35,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
6,RES City Residence Hotel Budapest,748.362857142857,8.2,1.65,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
7,The Rose Garden Apartments,1040.3500952381,8.9,1.55,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
8,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
9,Danubius Hotel Hungaria City Center,778.32,7.7,1.75,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
10,D8 Hotel,1125.13952380952,8.9,0.55,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
11,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
12,Nova City Apartments,1016.83504761905,9.0,1.40,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
13,Novak Apartment,921.06,9.6,1.10,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
14,Hotel Foldana,950.687619047619,9.0,3.65,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
15,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
16,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
17,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-02,2025-07-11,Martes,Jueves
18,Novotel Budapest Centrum,1111.8,8.3,1.25,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
19,Hotel Zenit Budapest Palace,1438.8,8.7,0.55,Hotel,Budapest,2025-07-02,2025-07-11,Martes,Jueves
0,Budapest Marriott Hotel,2131.713,8.8,0.60,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
1,Corvin Plaza Apartments & Suites,882.464,8.4,1.55,Aparthotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
2,RES City Residence Hotel Budapest,753.034285714286,8.2,1.65,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
3,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
4,The Rose Garden Apartments,1049.79676190476,8.9,1.55,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
5,D8 Hotel,1126.86276190476,8.9,0.55,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
6,Cosy Home in the heart of Budapest - Dorotea,776.32547826087,9.5,0.55,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
7,Tabán Art Appartmann,856.8,9.5,1.35,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
8,Nova City Apartments,1070.99247619048,9.0,1.40,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
9,Hotel Foldana,950.687619047619,9.0,3.65,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
10,Danubius Hotel Hungaria City Center,794.88,7.7,1.75,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
11,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
12,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
13,Benczur Hotel,849.265714285714,8.2,2.20,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
14,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
15,Emerald Downtown Luxury Suites by Continental Group,1748.98285714286,9.5,0.35,Aparthotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
16,Hotel Zenit Budapest Palace,1443.99047619048,8.7,0.55,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
17,Danubius Hotel Astoria City Center,1313.44,8.0,0.50,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
18,NH Budapest City,1095.47076190476,8.2,1.75,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
19,Danubius Hotel Helia,1463.0,8.5,3.15,Hotel,Budapest,2025-07-03,2025-07-12,Miercoles,Viernes
0,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
1,Twenty2 Apartment,783.48,9.6,0.55,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
2,Cosy Home in the heart of Budapest - Dorotea,783.413739130435,9.5,0.55,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
3,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
4,D8 Hotel,1128.57561904762,8.9,0.55,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
5,RES City Residence Hotel Budapest,757.705714285714,8.2,1.65,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
6,Corvin Plaza Apartments & Suites,892.969523809524,8.4,1.55,Aparthotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
7,The Rose Garden Apartments,1060.11542857143,8.9,1.55,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
8,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
9,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
10,Danubius Hotel Hungaria City Center,798.48,7.7,1.75,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
11,Emerald Downtown Luxury Suites by Continental Group,1748.98285714286,9.5,0.35,Aparthotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
12,Tabán Art Appartmann,864.45,9.5,1.35,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
13,Hotel Zenit Budapest Palace,1454.37142857143,8.7,0.55,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
14,Hotel Foldana,953.729238095238,9.0,3.65,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
15,Jungle design apartment,1045.47,8.8,1.85,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
16,Nova City Apartments,1125.13952380952,9.0,1.40,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
17,King-Kongs luxury cave,1446.48,9.4,1.05,Apartment,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
18,Leonardo Hotel Budapest,1094.04857142857,8.3,2.15,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
19,Benczur Hotel,852.068571428572,8.2,2.20,Hotel,Budapest,2025-07-04,2025-07-13,Jueves,Sabado
0,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
1,Twenty2 Apartment,779.1744,9.6,0.55,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
2,Cosy Home in the heart of Budapest - Dorotea,776.32547826087,9.5,0.55,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
3,RES City Residence Hotel Budapest,739.02,8.2,1.65,Hotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
4,D8 Hotel,1126.86276190476,8.9,0.55,Hotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
5,White Rose apartment,464.18,8.4,1.65,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
6,The Rose Garden Apartments,1070.4340952381,8.9,1.55,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
7,Corvin Plaza Apartments & Suites,882.464,8.4,1.55,Aparthotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
8,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
9,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
10,Tabán Art Appartmann,864.45,9.5,1.35,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
11,Emerald Downtown Luxury Suites by Continental Group,1748.98285714286,9.5,0.35,Aparthotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
12,Nova City Apartments,1095.05552380952,9.0,1.40,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
13,Diamond Home Apartment - City Center,770.2,8.8,0.70,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
14,King-Kongs luxury cave,1446.48,9.4,1.05,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
15,Jungle design apartment,1045.47,8.8,1.85,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
16,Hotel Zenit Budapest Palace,1443.99047619048,8.7,0.55,Hotel,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
17,Asbóth Taylor Apartment,2134.09542857143,9.3,0.10,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
18,Paulay Central Top Suite,1096.91,9.1,0.30,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
19,Lonyay Street Apartment,875.5,9.3,1.80,Apartment,Budapest,2025-07-05,2025-07-14,Viernes,Domingo
0,Hampton By Hilton Budapest City Centre,1189.4298,8.9,0.80,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
1,RES City Residence Hotel Budapest,720.334285714286,8.2,1.65,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
2,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
3,The Rose Garden Apartments,1068.71085714286,8.9,1.55,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
4,Corvin Plaza Apartments & Suites,879.598857142857,8.4,1.55,Aparthotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
5,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
6,Tabán Art Appartmann,856.8,9.5,1.35,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
7,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
8,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
9,Nova City Apartments,1064.97152380952,9.0,1.40,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
10,D8 Hotel,1125.13952380952,8.9,0.55,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
11,Danubius Hotel Hungaria City Center,776.16,7.7,1.75,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
12,Aquaworld Resort Budapest,2208.02857142857,8.9,12.30,Resort,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
13,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
14,Emerald Downtown Luxury Suites by Continental Group,1748.98285714286,9.5,0.35,Aparthotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
15,Cosy Home in the heart of Budapest - Dorotea,766.588173913044,9.5,0.55,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
16,Hotel Foldana,953.729238095238,9.0,3.65,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
17,Hotel Zenit Budapest Palace,1428.41904761905,8.7,0.55,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
18,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
19,Maple Tree Budget Apartments,1033.36152380952,8.1,1.60,Apartment,Budapest,2025-07-06,2025-07-15,Sabado,Lunes
0,Novak Apartment,921.06,9.6,1.10,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
1,IntercityHotel Budapest,1000.8,8.9,1.95,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
2,RES City Residence Hotel Budapest,725.005714285714,8.2,1.65,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
3,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
4,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
5,Corvin Plaza Apartments & Suites,887.239238095238,8.4,1.55,Aparthotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
6,Budapest Marriott Hotel,2339.685,8.8,0.60,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
7,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
8,The Rose Garden Apartments,1076.44466666667,8.9,1.55,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
9,Hotel Foldana,950.687619047619,9.0,3.65,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
10,Nova City Apartments,1077.00304761905,9.0,1.40,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
11,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
12,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
13,Ria's Apartment,736.0,9.3,3.10,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
14,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-07,2025-07-16,Domingo,Martes
15,Aquaworld Resort Budapest,2230.86666666667,8.9,12.30,Resort,Budapest,2025-07-07,2025-07-16,Domingo,Martes
16,Novotel Budapest Centrum,1203.15238095238,8.3,1.25,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
17,NH Budapest City,1095.47076190476,8.2,1.75,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
18,Hotel Zenit Budapest Palace,1428.41904761905,8.7,0.55,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
19,Danubius Hotel Hungaria City Center,785.52,7.7,1.75,Hotel,Budapest,2025-07-07,2025-07-16,Domingo,Martes
0,Hotel Moments Budapest by Continental Group,1608.51819047619,9.4,0.40,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
1,IntercityHotel Budapest,1029.6,8.9,1.95,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
2,RES City Residence Hotel Budapest,725.005714285714,8.2,1.65,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
3,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
4,Novak Apartment,921.06,9.6,1.10,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
5,Corvin Plaza Apartments & Suites,851.902476190476,8.4,1.55,Aparthotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
6,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
7,Danubius Hotel Hungaria City Center,779.76,7.7,1.75,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
8,The Rose Garden Apartments,1061.83866666667,8.9,1.55,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
9,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
10,Nova City Apartments,1058.96095238095,9.0,1.40,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
11,Hotel Foldana,950.687619047619,9.0,3.65,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
12,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
13,Ria's Apartment,736.0,9.3,3.10,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
14,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
15,Maple Tree Budget Apartments,1010.44038095238,8.1,1.60,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
16,NH Budapest City,1095.47076190476,8.2,1.75,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
17,Budapest City Apartments For Groups,1447.74,9.3,1.30,Apartment,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
18,Novotel Budapest Centrum,1182.39047619048,8.3,1.25,Hotel,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
19,Aquaworld Resort Budapest,2208.02857142857,8.9,12.30,Resort,Budapest,2025-07-08,2025-07-17,Lunes,Miercoles
0,ibis Budapest Castle Hill,620.334571428572,8.5,2.20,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
1,Cosy Home in the heart of Budapest - Dorotea,766.588173913044,9.5,0.55,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
2,IntercityHotel Budapest,1044.0,8.9,1.95,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
3,Medos Hotel,976.21,8.3,1.00,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
4,RES City Residence Hotel Budapest,720.334285714286,8.2,1.65,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
5,Hotel Moments Budapest by Continental Group,1608.51819047619,9.4,0.40,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
6,Corvin Plaza Apartments & Suites,816.565714285714,8.4,1.55,Aparthotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
7,"Modern, kényelmes otthon neked",580.202260869565,9.4,2.45,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
8,Tabán Art Appartmann,849.15,9.5,1.35,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
9,Charm Hotel Budapest - formerly Boutique Hotel Budapest,1092.48104761905,8.7,1.10,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
10,Novak Apartment,921.06,9.6,1.10,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
11,The Rose Garden Apartments,1062.6899047619,8.9,1.55,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
12,Hotel Oktogon Haggenmacher by Continental Group,1354.62085714286,9.2,1.15,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
13,Nova City Apartments,1040.90847619048,9.0,1.40,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
14,Hotel Foldana,950.687619047619,9.0,3.65,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
15,Benczur Hotel,846.462857142857,8.2,2.20,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
16,Danubius Hotel Hungaria City Center,786.96,7.7,1.75,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
17,Maple Tree Budget Apartments,987.519238095238,8.1,1.60,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
18,Oli Fiumei Apartman,548.562608695652,,1.85,Apartment,Budapest,2025-07-09,2025-07-18,Martes,Jueves
19,NH Budapest City,1095.47076190476,8.2,1.75,Hotel,Budapest,2025-07-09,2025-07-18,Martes,Jueves
0,Impulso Fashion Hotel,949.234285714286,8.5,1.75,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
1,Apartment 43,765.0,9.9,1.70,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
2,Elizabeth square apartment,712.447826086957,,0.40,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
3,Pinball Apartment,562.2592,7.9,1.00,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
4,Budapest Griffin Guest House,667.13,8.1,0.95,Guest house,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
5,Hampton By Hilton Budapest City Centre,1199.2725,8.9,0.80,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
6,White Rose apartment,464.18,8.4,1.65,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
7,Twenty2 Apartment,779.1744,9.6,0.55,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
8,Budapest Marriott Hotel,2099.34,8.8,0.60,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
9,Hidden Gem 1 BR next to OPERA,597.624,8.6,1.00,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
10,Carlton Hotel Buda Castle,1010.82447619048,8.7,1.30,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
11,Corvin Plaza Apartments & Suites,784.094095238095,8.4,1.55,Aparthotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
12,IntercityHotel Budapest,1044.0,8.9,1.95,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
13,RES City Residence Hotel Budapest,725.005714285714,8.2,1.65,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
14,Christine Apartment close to the Buda Castle,640.0896,9.6,1.95,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
15,ibis Budapest Castle Hill,620.334571428572,8.5,2.20,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
16,Hotel Moments Budapest by Continental Group,1608.51819047619,9.4,0.40,Hotel,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
17,DobStreet Dream Apartment,524.386146788991,6.1,0.30,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
18,All In Apartman II.,646.764,9.4,0.55,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
19,Raday Bobo,731.952,9.3,1.50,Apartment,Budapest,2025-07-10,2025-07-19,Miercoles,Viernes
0,NH Collection Budapest City Center,964.535809523809,8.8,1.25,Hotel,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
1,Apartment 43,765.0,9.9,1.70,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
2,Hidden Gem 1 BR next to OPERA,597.624,8.6,1.00,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
3,Twenty2 Apartment,783.48,9.6,0.55,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
4,Hampton By Hilton Budapest City Centre,1199.2725,8.9,0.80,Hotel,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
5,Pinball Apartment,583.704,7.9,1.00,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
6,Tempo Life Apartman,630.32,8.4,1.05,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
7,Impulso Fashion Hotel,981.0,8.5,1.75,Hotel,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
8,White Rose apartment,464.18,8.4,1.65,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
9,Carlton Hotel Buda Castle,1027.15371428571,8.7,1.30,Hotel,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
10,Agorà Apartment,1010.48,9.4,0.65,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
11,Corvin City Apartment by NW,620.428,9.2,1.65,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
12,Hotel Moments Budapest by Continental Group,1608.51819047619,9.4,0.40,Hotel,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
13,Budapest Griffin Guest House,702.24,8.1,0.95,Guest house,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
14,Budapest Magic Blue in Downtown,714.809913043478,9.7,0.90,Apartment,Budapest,2025-07-11,2025-07-20,Jueves,Sabado
