,Nombre,Precio,Link,Descripcion
81,Excursión al Lago Mayor,99.0,https://www.civitatis.com/es/milan/excursion-lago-maggiore/,¿Qué tendrá el Lago Mayor que cautiva a tanta gente que lo visita? Descubridlo en esta excursión que incluye un crucero por las Islas Borromeas.
82,Tour en bicicleta por el Milán desconocido,35.0,https://www.civitatis.com/es/milan/tour-bicicleta-milan-desconocido/,¿Buscáis un plan diferente? En este tour en bicicleta por el Milán desconocido recorreremos zonas poco turísticas para ver la auténtica vida milanesa.
83,Excursión al lago Como y Lugano,99.0,https://www.civitatis.com/es/milan/excursion-lago-como-lugano/,"En esta excursión desde Milán visitaremos el lago Como, uno de los más sorprendentes del norte de Italia, y cruzaremos la frontera con Suiza hasta Lugano."
84,Milan Pass,89.0,https://www.civitatis.com/es/milan/milan-pass/,"Con la Milan Pass, la tarjeta turística de la capital lombarda, obtendréis la entrada a numerosos museos de la ciudad y el uso ilimitado del transporte público."
85,Visita guiada por el Museo Astronómico de Brera,8.0,https://www.civitatis.com/es/milan/visita-museo-astronomico-brera/,En esta visita por el Museo Astronómico de Brera descubriréis datos muy interesantes del Universo contemplando objetos utilizados por astrónomos siglos atrás.
86,Visita guiada por Brera + Entrada a la Pinacoteca,59.9,https://www.civitatis.com/es/milan/tour-barrio-brera/,"Caravaggio, Raffaello, Tintoretto y otros artistas extraordinarios os esperan en esta visita guiada por Brera con entrada a la Pinacoteca."
87,Lagos del Norte de Italia en 5 días + Bernina Express,1798.0,https://www.civitatis.com/es/milan/tour-4-dias-lagos-norte/,"Garda, Como, Mayor, Orta… Descubrid los lagos del norte de Italia en este circuito de 5 días por los paisajes septentrionales de Lombardía y Piamonte."
88,Excursión a Monza y jardines de la Villa Real,69.0,https://www.civitatis.com/es/milan/excursion-monza-villa-real/,En esta excursión a Monza y jardines de la Villa Real conoceremos la ciudad y el exterior de una de las residencias de reyes más importantes de Italia.
89,Excursión a Lugano y Bellinzona,70.0,https://www.civitatis.com/es/milan/excursion-lugano-bellinzona/,"En esta excursión cruzaremos la frontera entre Italia y Suiza para visitar Lugano y Bellinzona, dos de las localidades más encantadoras del cantón de Tesino."
118,Tour de los fantasmas de Milán,19.0,https://www.civitatis.com/es/milan/tour-fantasmas-milan/,"Cuando el crepúsculo oscurece las calles de la capital lombarda, aparecen sus fantasmas. Conoce sus lúgubres historias con este paseo nocturno por Milán."
